Date,Close
10/18/2024 16:00:00,51.83
10/21/2024 16:00:00,51.24
10/22/2024 16:00:00,50.98
10/23/2024 16:00:00,50.49
10/24/2024 16:00:00,50.67
10/25/2024 16:00:00,50.51
10/28/2024 16:00:00,50.88
10/29/2024 16:00:00,50.71
10/30/2024 16:00:00,50.46
10/31/2024 16:00:00,50.1
11/1/2024 16:00:00,50.21
11/4/2024 16:00:00,50.28
11/5/2024 16:00:00,50.81
11/6/2024 16:00:00,50.16
11/7/2024 16:00:00,50.92
11/8/2024 16:00:00,50.25
11/11/2024 16:00:00,50.23
11/12/2024 16:00:00,49.41
11/13/2024 16:00:00,49.13
11/14/2024 16:00:00,49.17
11/15/2024 16:00:00,49.03
11/18/2024 16:00:00,49.36
11/19/2024 16:00:00,49.3
11/20/2024 16:00:00,49.16
11/21/2024 16:00:00,49.28
11/22/2024 16:00:00,49.5
11/25/2024 16:00:00,49.74
11/26/2024 16:00:00,49.44
11/27/2024 16:00:00,49.7
11/29/2024 13:15:00,50.3
12/2/2024 16:00:00,50.35
12/3/2024 16:00:00,50.56
12/4/2024 16:00:00,50.57
12/5/2024 16:00:00,50.8
12/6/2024 16:00:00,50.73
12/9/2024 16:00:00,50.61
12/10/2024 16:00:00,50.24
12/11/2024 16:00:00,50.6
12/12/2024 16:00:00,50.11
12/13/2024 16:00:00,49.98
12/16/2024 16:00:00,49.77
12/17/2024 16:00:00,49.65
12/18/2024 16:00:00,48.42
12/19/2024 16:00:00,48.3
12/20/2024 16:00:00,47.57
12/23/2024 16:00:00,47.85
12/24/2024 13:00:00,48.04
12/26/2024 16:00:00,48.23
12/27/2024 16:00:00,48.11
12/30/2024 16:00:00,47.81
12/31/2024 16:00:00,47.82
1/2/2025 16:00:00,47.72
1/3/2025 16:00:00,48
1/6/2025 16:00:00,48.47
1/7/2025 16:00:00,48.31
1/8/2025 16:00:00,48.25
1/10/2025 16:00:00,47.53
1/13/2025 16:00:00,47.4
1/14/2025 16:00:00,47.58
1/15/2025 16:00:00,48.17
1/16/2025 16:00:00,48.33
1/17/2025 16:00:00,48.57
1/21/2025 16:00:00,49.51
1/22/2025 16:00:00,49.4
1/23/2025 16:00:00,49.74
1/24/2025 16:00:00,50.02
1/27/2025 16:00:00,49.93
1/28/2025 16:00:00,49.88
1/29/2025 16:00:00,49.88
1/30/2025 16:00:00,50.42
1/31/2025 16:00:00,49.94
2/3/2025 16:00:00,49.32
2/4/2025 16:00:00,49.92
2/5/2025 16:00:00,50.4
2/6/2025 16:00:00,50.61
2/7/2025 16:00:00,50.21
2/10/2025 16:00:00,50.53
2/11/2025 16:00:00,50.73
2/12/2025 16:00:00,50.83
2/13/2025 16:00:00,51.49
2/14/2025 16:00:00,51.51
2/18/2025 16:00:00,51.86
2/19/2025 16:00:00,51.41
2/20/2025 16:00:00,51.61
2/21/2025 16:00:00,51.24
2/24/2025 16:00:00,51.19
2/25/2025 16:00:00,51.56
2/26/2025 16:00:00,51.64
2/27/2025 16:00:00,51.03
2/28/2025 16:00:00,51.07
3/3/2025 16:00:00,51.45
3/4/2025 16:00:00,51.31
3/5/2025 16:00:00,52.52
3/6/2025 16:00:00,52.03
3/7/2025 16:00:00,52.58
3/10/2025 16:00:00,51.37
3/11/2025 16:00:00,51.23
3/12/2025 16:00:00,51.61
3/13/2025 16:00:00,51.22
3/14/2025 16:00:00,52.2
3/17/2025 16:00:00,52.82
3/18/2025 16:00:00,52.75
3/19/2025 16:00:00,52.99
3/20/2025 16:00:00,52.58
3/21/2025 16:00:00,52.05
3/24/2025 16:00:00,52.12
3/25/2025 16:00:00,52.4
3/26/2025 16:00:00,51.77
3/27/2025 16:00:00,51.83
3/28/2025 16:00:00,51.24
3/31/2025 16:00:00,50.83
4/1/2025 16:00:00,51.01
4/2/2025 16:00:00,51.15
4/3/2025 16:00:00,50.08
4/4/2025 16:00:00,46.91
4/7/2025 16:00:00,45.89
4/8/2025 16:00:00,45.65
4/9/2025 16:00:00,49.06
4/10/2025 16:00:00,48.09
4/11/2025 16:00:00,49.41
4/14/2025 16:00:00,49.98
4/15/2025 16:00:00,50.32
4/16/2025 16:00:00,50.21
4/17/2025 16:00:00,50.75
4/21/2025 16:00:00,50.51
4/22/2025 16:00:00,51.5
4/23/2025 16:00:00,51.65
4/24/2025 16:00:00,52.31
4/25/2025 16:00:00,52.43
4/28/2025 16:00:00,52.79
4/29/2025 16:00:00,52.95
4/30/2025 16:00:00,52.87
5/1/2025 16:00:00,52.65
5/2/2025 16:00:00,53.61
5/5/2025 16:00:00,53.71
5/6/2025 16:00:00,53.7
5/7/2025 16:00:00,53.51
5/8/2025 16:00:00,53.33
5/9/2025 16:00:00,53.68
5/12/2025 16:00:00,53.94
5/13/2025 16:00:00,54.03
5/14/2025 16:00:00,53.81
5/15/2025 16:00:00,54.38
5/16/2025 16:00:00,54.5
5/19/2025 16:00:00,54.94
5/20/2025 16:00:00,55.2
5/21/2025 16:00:00,54.9
5/22/2025 16:00:00,54.84
5/23/2025 16:00:00,55.03
5/27/2025 16:00:00,55.8
5/28/2025 16:00:00,55.29
5/29/2025 16:00:00,55.51
5/30/2025 16:00:00,55.58
6/2/2025 16:00:00,56.22
6/3/2025 16:00:00,55.81
6/4/2025 16:00:00,56.1
