Date,Close
2024-10-18 16:00:00.288,17.35
2024-10-21 16:00:00.288,17.2
2024-10-22 16:00:00.288,17.2
2024-10-23 16:00:00.288,16.86
2024-10-24 16:00:00.288,16.99
2024-10-25 16:00:00.288,16.88
2024-10-28 16:00:00.288,17.03
2024-10-29 16:00:00.288,17.12
2024-10-30 16:00:00.288,16.93
2024-10-31 16:00:00.288,16.59
2024-11-01 16:00:00.288,16.65
2024-11-04 16:00:00.288,16.56
2024-11-05 16:00:00.288,16.7
2024-11-06 16:00:00.288,16.68
2024-11-07 16:00:00.288,16.93
2024-11-08 16:00:00.288,16.88
2024-11-11 16:00:00.288,16.73
2024-11-12 16:00:00.288,16.68
2024-11-13 16:00:00.288,16.75
2024-11-14 16:00:00.288,16.73
2024-11-15 16:00:00.288,16.64
2024-11-18 16:00:00.288,16.54
2024-11-19 16:00:00.288,16.52
2024-11-20 16:00:00.288,16.67
2024-11-21 16:00:00.288,16.7
2024-11-22 16:00:00.288,16.81
2024-11-25 16:00:00.288,16.79
2024-11-26 16:00:00.288,16.84
2024-11-27 16:00:00.288,16.73
2024-11-29 12:15:00.288,16.81
2024-12-02 16:00:00.288,16.96
2024-12-03 16:00:00.288,16.96
2024-12-04 16:00:00.288,17.12
2024-12-05 16:00:00.288,17.05
2024-12-06 16:00:00.288,17.15
2024-12-09 16:00:00.288,17.08
2024-12-10 16:00:00.288,17.06
2024-12-11 16:00:00.288,17.17
2024-12-12 16:00:00.288,17.1
2024-12-13 16:00:00.288,16.97
2024-12-16 16:00:00.288,16.99
2024-12-17 16:00:00.288,17.01
2024-12-18 16:00:00.288,16.79
2024-12-19 16:00:00.288,16.74
2024-12-20 16:00:00.288,16.73
2024-12-23 16:00:00.288,16.95
2024-12-24 16:00:00.288,16.97
2024-12-26 16:00:00.288,16.93
2024-12-27 16:00:00.288,16.87
2024-12-30 16:00:00.288,16.71
2024-12-31 16:00:00.288,16.75
2025-01-02 16:00:00.288,16.96
2025-01-03 16:00:00.288,16.9
2025-01-06 16:00:00.288,16.84
2025-01-07 16:00:00.288,16.96
2025-01-08 16:00:00.288,17.09
2025-01-10 16:00:00.288,17.25
2025-01-13 16:00:00.288,17.14
2025-01-14 16:00:00.288,17.09
2025-01-15 16:00:00.288,17.01
2025-01-16 16:00:00.288,16.98
2025-01-17 16:00:00.288,17.22
2025-01-21 16:00:00.288,16.94
2025-01-22 16:00:00.288,17.13
2025-01-23 16:00:00.288,17.1
2025-01-24 16:00:00.288,16.99
2025-01-27 16:00:00.288,16.83
2025-01-28 16:00:00.288,17.01
2025-01-29 16:00:00.288,17.16
2025-01-30 16:00:00.288,17.25
2025-01-31 16:00:00.288,17.1
2025-02-03 16:00:00.288,17.2
2025-02-04 16:00:00.288,16.98
2025-02-05 16:00:00.288,16.99
2025-02-06 16:00:00.288,17.16
2025-02-07 16:00:00.288,17.03
2025-02-10 16:00:00.288,17.36
2025-02-11 16:00:00.288,17.25
2025-02-12 16:00:00.288,17.25
2025-02-13 16:00:00.288,17.38
2025-02-14 16:00:00.288,17.22
2025-02-18 16:00:00.288,17.39
2025-02-19 16:00:00.288,17.31
2025-02-20 16:00:00.288,17.15
2025-02-21 16:00:00.288,16.99
2025-02-24 16:00:00.288,17.05
2025-02-25 16:00:00.288,17.03
2025-02-26 16:00:00.288,17.12
2025-02-27 16:00:00.288,17.01
2025-02-28 16:00:00.288,17.2
2025-03-03 16:00:00.288,17.21
2025-03-04 16:00:00.288,16.95
2025-03-05 16:00:00.288,17.04
2025-03-06 16:00:00.288,16.79
2025-03-07 16:00:00.288,16.86
2025-03-10 16:00:00.288,16.75
2025-03-11 16:00:00.288,16.61
2025-03-12 16:00:00.288,16.63
2025-03-13 16:00:00.288,16.77
2025-03-14 16:00:00.288,16.82
2025-03-17 16:00:00.288,16.81
2025-03-18 16:00:00.288,16.9
2025-03-19 16:00:00.288,16.99
2025-03-20 16:00:00.288,16.95
2025-03-21 16:00:00.288,16.8
2025-03-24 16:00:00.288,16.76
2025-03-25 16:00:00.288,16.83
2025-03-26 16:00:00.288,16.77
2025-03-27 16:00:00.288,16.8
2025-03-28 16:00:00.288,16.87
2025-03-31 16:00:00.288,16.95
2025-04-01 16:00:00.288,16.82
