Date,Close
10/18/2024 16:00:00,20.22
10/21/2024 16:00:00,20.33
10/22/2024 16:00:00,20.56
10/23/2024 16:00:00,21.1
10/24/2024 16:00:00,20.78
10/25/2024 16:00:00,20.18
10/28/2024 16:00:00,20.15
10/29/2024 16:00:00,18.7
10/30/2024 16:00:00,20.68
10/31/2024 16:00:00,23.08
11/1/2024 16:00:00,22.43
11/4/2024 16:00:00,22.78
11/5/2024 16:00:00,21.99
11/6/2024 16:00:00,20.1
11/7/2024 16:00:00,18.83
11/8/2024 16:00:00,19.27
11/11/2024 16:00:00,20.75
11/12/2024 16:00:00,21.43
11/13/2024 16:00:00,22.84
11/14/2024 16:00:00,22.85
11/15/2024 16:00:00,25.13
11/18/2024 16:00:00,24.1
11/19/2024 16:00:00,23.97
11/20/2024 16:00:00,24.63
11/21/2024 16:00:00,23.43
11/22/2024 16:00:00,23.42
11/25/2024 16:00:00,22.73
11/26/2024 16:00:00,23.64
11/27/2024 16:00:00,24.6
11/29/2024 13:15:00,23.65
12/2/2024 16:00:00,21.84
12/3/2024 16:00:00,22.21
12/4/2024 16:00:00,21.32
12/5/2024 16:00:00,22.54
12/6/2024 16:00:00,22.14
12/9/2024 16:00:00,22.45
12/10/2024 16:00:00,24.08
12/11/2024 16:00:00,22.32
12/12/2024 16:00:00,22.84
12/13/2024 16:00:00,20.91
12/16/2024 16:00:00,19.77
12/17/2024 16:00:00,20.6
12/18/2024 16:00:00,22.98
12/19/2024 16:00:00,24.08
12/20/2024 16:00:00,23.11
12/23/2024 16:00:00,20.74
12/24/2024 13:00:00,20.14
12/26/2024 16:00:00,20.14
12/27/2024 16:00:00,20.67
12/30/2024 16:00:00,21.81
12/31/2024 16:00:00,22.47
1/2/2025 16:00:00,22.12
1/3/2025 16:00:00,20.41
1/6/2025 16:00:00,18.63
1/7/2025 16:00:00,19.36
1/8/2025 16:00:00,19.96
1/10/2025 16:00:00,21.45
1/13/2025 16:00:00,21.59
1/14/2025 16:00:00,21.29
1/15/2025 16:00:00,19.99
1/16/2025 16:00:00,19.93
1/17/2025 16:00:00,18.33
1/21/2025 16:00:00,17.65
1/22/2025 16:00:00,16.9
1/23/2025 16:00:00,17
1/24/2025 16:00:00,18.09
1/27/2025 16:00:00,22.22
1/28/2025 16:00:00,22
1/29/2025 16:00:00,21.78
1/30/2025 16:00:00,20.46
1/31/2025 16:00:00,20.61
2/3/2025 16:00:00,21.67
2/4/2025 16:00:00,21.1
2/5/2025 16:00:00,19.87
2/6/2025 16:00:00,20
2/7/2025 16:00:00,20.91
2/10/2025 16:00:00,20.13
2/11/2025 16:00:00,20.1
2/12/2025 16:00:00,20.03
2/13/2025 16:00:00,19.28
2/14/2025 16:00:00,19.29
2/18/2025 16:00:00,18.32
2/19/2025 16:00:00,17.44
2/20/2025 16:00:00,17.31
2/21/2025 16:00:00,18.89
2/24/2025 16:00:00,20.18
2/25/2025 16:00:00,21.48
2/26/2025 16:00:00,20.37
2/27/2025 16:00:00,24.02
2/28/2025 16:00:00,22.86
3/3/2025 16:00:00,25.26
3/4/2025 16:00:00,24.87
3/5/2025 16:00:00,23.28
3/6/2025 16:00:00,26.12
3/7/2025 16:00:00,23.9
3/10/2025 16:00:00,27.17
3/11/2025 16:00:00,28.19
3/12/2025 16:00:00,26.44
3/13/2025 16:00:00,26.81
3/14/2025 16:00:00,24.4
3/17/2025 16:00:00,23.22
3/18/2025 16:00:00,23.94
3/19/2025 16:00:00,23.55
3/20/2025 16:00:00,24.07
3/21/2025 16:00:00,24.91
3/24/2025 16:00:00,22.75
3/25/2025 16:00:00,22.88
3/26/2025 16:00:00,24.86
3/27/2025 16:00:00,26.28
3/28/2025 16:00:00,28.79
3/31/2025 16:00:00,28.99
4/1/2025 16:00:00,28.96
4/2/2025 16:00:00,28.36
4/3/2025 16:00:00,36.81
4/4/2025 16:00:00,45.52
4/7/2025 16:00:00,42.35
4/8/2025 16:00:00,47.02
4/9/2025 16:00:00,20.7
4/10/2025 16:00:00,25.45
4/11/2025 16:00:00,23.86
4/14/2025 16:00:00,23.43
4/15/2025 16:00:00,23.09
4/16/2025 16:00:00,25.81
4/17/2025 16:00:00,26.28
4/21/2025 16:00:00,27.66
4/22/2025 16:00:00,26.09
4/23/2025 16:00:00,23.1
4/24/2025 16:00:00,19.08
4/25/2025 16:00:00,18.58
4/28/2025 16:00:00,18.72
4/29/2025 16:00:00,19.32
4/30/2025 16:00:00,18.86
5/1/2025 16:00:00,18.95
5/2/2025 16:00:00,17.03
5/5/2025 16:00:00,17.38
5/6/2025 16:00:00,17.95
5/7/2025 16:00:00,17.03
5/8/2025 16:00:00,16.5
5/9/2025 16:00:00,16
5/12/2025 16:00:00,12.54
5/13/2025 16:00:00,11.49
5/14/2025 16:00:00,11.34
5/15/2025 16:00:00,11.55
5/16/2025 16:00:00,11.6
5/19/2025 16:00:00,11.82
5/20/2025 16:00:00,11.88
5/21/2025 16:00:00,12.54
5/22/2025 16:00:00,12.54
5/23/2025 16:00:00,13.49
5/27/2025 16:00:00,12.14
5/28/2025 16:00:00,12.34
5/29/2025 16:00:00,12.21
5/30/2025 16:00:00,12.96
6/2/2025 16:00:00,12.37
6/3/2025 16:00:00,11.35
6/4/2025 16:00:00,10.87
6/5/2025 16:00:00,10.99
6/6/2025 16:00:00,10.81
6/9/2025 16:00:00,10.03
6/10/2025 16:00:00,9.4
6/11/2025 16:00:00,9.5
6/12/2025 16:00:00,9.45
6/13/2025 16:00:00,10.17
6/16/2025 16:00:00,9.23
6/17/2025 16:00:00,9.44
6/18/2025 16:00:00,9.35
6/20/2025 16:00:00,9.54
6/23/2025 16:00:00,9.37
6/24/2025 16:00:00,8.26
6/25/2025 16:00:00,8.04
6/26/2025 16:00:00,7.87
6/27/2025 16:00:00,7.88
6/30/2025 16:00:00,7.89
7/1/2025 16:00:00,8
7/2/2025 16:00:00,7.55
7/3/2025 13:15:00,7.45
7/7/2025 16:00:00,7.87
7/8/2025 16:00:00,7.44
7/9/2025 16:00:00,7.36
7/10/2025 16:00:00,7.14
7/11/2025 16:00:00,7.18
7/14/2025 16:00:00,7.38
7/15/2025 16:00:00,7.18
7/16/2025 16:00:00,7.22
7/17/2025 16:00:00,7.15
7/18/2025 16:00:00,7.16
7/21/2025 16:00:00,7.13
7/22/2025 16:00:00,7.43
7/23/2025 16:00:00,7.56
7/24/2025 16:00:00,7.63
7/25/2025 16:00:00,7.65
7/28/2025 16:00:00,7.23
7/29/2025 16:00:00,7.2
7/30/2025 16:00:00,7.06
7/31/2025 16:00:00,7.72
8/1/2025 16:00:00,8.01
8/4/2025 16:00:00,7.69
8/5/2025 16:00:00,7.85
8/6/2025 16:00:00,8.03
8/7/2025 16:00:00,7.66
8/8/2025 16:00:00,7.46
8/11/2025 16:00:00,7.49
8/12/2025 16:00:00,6.77
8/13/2025 16:00:00,6.48
8/14/2025 16:00:00,6.46
8/15/2025 16:00:00,6.91
8/18/2025 16:00:00,6.85
8/19/2025 16:00:00,7.17
8/20/2025 16:00:00,7.32
8/21/2025 16:00:00,7.44
8/22/2025 16:00:00,6.81
8/25/2025 16:00:00,6.86
8/26/2025 16:00:00,6.7
8/27/2025 16:00:00,6.65
8/28/2025 16:00:00,6.57
8/29/2025 16:00:00,7.14
9/2/2025 16:00:00,7.35
9/3/2025 16:00:00,7.47
9/4/2025 16:00:00,7.22
9/5/2025 16:00:00,7
9/8/2025 16:00:00,6.85
9/9/2025 16:00:00,6.83
9/10/2025 16:00:00,6.47
9/11/2025 16:00:00,6.35
9/12/2025 16:00:00,6.31
9/15/2025 16:00:00,6.16
9/16/2025 16:00:00,6.04
9/17/2025 16:00:00,6.06
9/18/2025 16:00:00,5.44
9/19/2025 16:00:00,5.53
9/22/2025 16:00:00,5.28
9/23/2025 16:00:00,5.26
9/24/2025 16:00:00,5.28
9/25/2025 16:00:00,5.34
9/26/2025 16:00:00,5.31
9/29/2025 16:00:00,5.31
9/30/2025 16:00:00,5.17
10/1/2025 16:00:00,4.9
10/2/2025 16:00:00,4.6
10/3/2025 16:00:00,4.69
10/6/2025 16:00:00,4.27
10/7/2025 16:00:00,4.55
10/8/2025 16:00:00,4.09
10/9/2025 16:00:00,4.14
10/10/2025 16:00:00,4.94
10/13/2025 16:00:00,4.21
10/14/2025 16:00:00,4.48
10/15/2025 16:00:00,4.07
10/16/2025 16:00:00,4.02
