Date,Close
10/18/2024 16:00:00,59.45
10/21/2024 16:00:00,59.17
10/22/2024 16:00:00,59.12
10/23/2024 16:00:00,59.01
10/24/2024 16:00:00,59.08
10/25/2024 16:00:00,59
10/28/2024 16:00:00,58.89
10/29/2024 16:00:00,58.93
10/30/2024 16:00:00,58.83
10/31/2024 16:00:00,58.8
11/1/2024 16:00:00,58.42
11/4/2024 16:00:00,58.61
11/5/2024 16:00:00,58.6
11/6/2024 16:00:00,58.25
11/7/2024 16:00:00,58.58
11/8/2024 16:00:00,58.59
11/11/2024 16:00:00,58.46
11/12/2024 16:00:00,58.23
11/13/2024 16:00:00,58.27
11/14/2024 16:00:00,58.21
11/15/2024 16:00:00,58.29
11/18/2024 16:00:00,58.37
11/19/2024 16:00:00,58.44
11/20/2024 16:00:00,58.38
11/21/2024 16:00:00,58.34
11/22/2024 16:00:00,58.35
11/25/2024 16:00:00,58.75
11/26/2024 16:00:00,58.69
11/27/2024 16:00:00,58.85
11/29/2024 13:05:00,59.03
12/2/2024 16:00:00,58.83
12/3/2024 16:00:00,58.75
12/4/2024 16:00:00,58.91
12/5/2024 16:00:00,58.9
12/6/2024 16:00:00,59.04
12/9/2024 16:00:00,58.92
12/10/2024 16:00:00,58.83
12/11/2024 16:00:00,58.74
12/12/2024 16:00:00,58.61
12/13/2024 16:00:00,58.43
12/16/2024 16:00:00,58.45
12/17/2024 16:00:00,58.44
12/18/2024 16:00:00,58.08
12/19/2024 16:00:00,58
12/20/2024 16:00:00,58.15
12/23/2024 16:00:00,57.97
12/24/2024 13:05:00,57.81
12/26/2024 16:00:00,57.85
12/27/2024 16:00:00,57.78
12/30/2024 16:00:00,58.02
12/31/2024 16:00:00,58
1/2/2025 16:00:00,58.01
1/3/2025 16:00:00,57.95
1/6/2025 16:00:00,57.93
1/7/2025 16:00:00,57.76
1/8/2025 16:00:00,57.84
1/10/2025 16:00:00,57.51
1/13/2025 16:00:00,57.44
1/14/2025 16:00:00,57.47
1/15/2025 16:00:00,57.89
1/16/2025 16:00:00,58.03
1/17/2025 16:00:00,58.01
1/21/2025 16:00:00,58.13
1/22/2025 16:00:00,58.02
1/23/2025 16:00:00,57.94
1/24/2025 16:00:00,58.06
1/27/2025 16:00:00,58.31
1/28/2025 16:00:00,58.32
1/29/2025 16:00:00,58.26
1/30/2025 16:00:00,58.35
1/31/2025 16:00:00,58.33
2/3/2025 16:00:00,58.13
2/4/2025 16:00:00,58.21
2/5/2025 16:00:00,58.42
2/6/2025 16:00:00,58.37
2/7/2025 16:00:00,58.22
2/10/2025 16:00:00,58.22
2/11/2025 16:00:00,58.15
2/12/2025 16:00:00,57.86
2/13/2025 16:00:00,58.11
2/14/2025 16:00:00,58.29
2/18/2025 16:00:00,58.12
2/19/2025 16:00:00,58.21
2/20/2025 16:00:00,58.29
2/21/2025 16:00:00,58.53
2/24/2025 16:00:00,58.62
2/25/2025 16:00:00,58.93
2/26/2025 16:00:00,59.04
2/27/2025 16:00:00,59.03
2/28/2025 16:00:00,59.25
3/3/2025 16:00:00,59.22
3/4/2025 16:00:00,59.14
3/5/2025 16:00:00,58.91
3/6/2025 16:00:00,58.92
3/7/2025 16:00:00,58.88
3/10/2025 16:00:00,59.18
3/11/2025 16:00:00,59.04
3/12/2025 16:00:00,58.92
3/13/2025 16:00:00,59.09
